id,method,llm,family,complexity,ifs,mcs,mcs_total,mcs_matched,mcs_mismatched,high_ifs_low_mcs,mismatch_properties,mismatch_reasons,first_mismatch
coupled_019,D,deepseek-flash,coupled,complex,0.7761806981519508,0.0,3,0,3,False,kernel:diffusion;kernel:diffusion;kernel:diffusion,missing_in_candidate;missing_in_candidate;missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 0.0002, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""DA""], ""operator"": ""diffusion""}}"
coupled_022,D,deepseek-flash,coupled,complex,0.8566433566433567,0.4,5,2,3,False,kernel:diffusion;bc:neumann:t:right:t_infinity;bc:neumann:t:right:heat_transfer_coefficient,missing_in_candidate;missing_in_candidate;missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 1e-10, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""D_Li""], ""operator"": ""diffusion""}}"
coupled_021,D,deepseek-flash,coupled,complex,0.5566037735849056,0.0,5,0,5,False,kernel:diffusion;kernel:time_derivative;kernel:diffusion;bc:neumann:t:right:t_infinity;bc:neumann:t:right:heat_transfer_coefficient,missing_in_candidate;missing_in_candidate;missing_in_candidate;missing_in_candidate;missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 60.0, ""ref_detail"": {""coefficient_param"": ""thermal_conductivity"", ""kernel"": ""HeatConduction"", ""material_properties"": [""thermal_conductivity""], ""operator"": ""diffusion""}}"
diffusion_001,D,deepseek-flash,diffusion,simple,1.0,,0,0,0,False,,,{}
coupled_023,D,deepseek-flash,coupled,complex,0.7279411764705882,0.4,5,2,3,False,kernel:time_derivative;bc:neumann:t:right:t_infinity;bc:neumann:t:right:heat_transfer_coefficient,missing_in_candidate;missing_in_candidate;missing_in_candidate,"{""cand"": null, ""property"": ""kernel:time_derivative"", ""reason"": ""missing_in_candidate"", ""ref"": 3375000.0, ""ref_detail"": {""coefficient_param"": ""density_specific_heat"", ""kernel"": ""HeatConductionTimeDerivative"", ""material_properties"": [""density"", ""specific_heat""], ""operator"": ""time_derivative""}}"
diffusion_002,D,deepseek-flash,diffusion,simple,1.0,,0,0,0,False,,,{}
diffusion_003,D,deepseek-flash,diffusion,simple,0.8666666666666667,,0,0,0,False,,,{}
diffusion_004,D,deepseek-flash,diffusion,medium,0.8478260869565217,,0,0,0,False,,,{}
diffusion_005,D,deepseek-flash,diffusion,medium,0.8125,,0,0,0,False,,,{}
diffusion_006,D,deepseek-flash,diffusion,medium,0.8220338983050848,,0,0,0,False,,,{}
dataset_pf_001,D,deepseek-flash,thm_coupled,complex,0.4528301886792453,0.0,9,0,9,False,material:temperature;material:porosity;material:permeability;material:n;material:phase;material:s_res;material:sum_s_res;material:n;material:phase,missing_in_candidate;missing_in_candidate;value_mismatch;missing_in_candidate;missing_in_candidate;missing_in_candidate;missing_in_candidate;missing_in_candidate;missing_in_candidate,"{""cand"": null, ""property"": ""material:temperature"", ""reason"": ""missing_in_candidate"", ""ref"": 20.0, ""ref_detail"": {""material"": ""temperature"", ""material_type"": ""PorousFlowTemperature"", ""property"": ""temperature""}}"
diffusion_010,D,deepseek-flash,diffusion,complex,0.9492753623188406,,0,0,0,False,,,{}
diffusion_011,D,deepseek-flash,diffusion,simple,1.0,,0,0,0,False,,,{}
diffusion_008,D,deepseek-flash,diffusion,complex,0.92,0.0,1,0,1,True,kernel:diffusion,missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 1e-05, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""D""], ""operator"": ""diffusion""}}"
diffusion_012,D,deepseek-flash,diffusion,simple,0.7118644067796611,,0,0,0,False,,,{}
diffusion_013,D,deepseek-flash,diffusion,simple,1.0,,0,0,0,False,,,{}
dataset_thm_011,D,deepseek-flash,thm_coupled,complex,0.4411764705882353,0.2,10,2,8,False,material_model:elasticity_tensor;material:phase;material:porosity_zero;material:biot_coefficient;material:solid_bulk;material:permeability;material:n;material:phase,value_mismatch;missing_in_candidate;missing_in_candidate;value_mismatch;missing_in_candidate;value_mismatch;missing_in_candidate;missing_in_candidate,"{""cand"": ""isotropic"", ""cand_detail"": {""material"": ""elasticity"", ""material_type"": ""ComputeIsotropicElasticityTensor"", ""role"": ""elasticity_tensor""}, ""property"": ""material_model:elasticity_tensor"", ""reason"": ""value_mismatch"", ""ref"": ""generic"", ""ref_detail"": {""material"": ""elasticity_tensor"", ""material_type"": ""ComputeElasticityTensor"", ""role"": ""elasticity_tensor""}}"
diffusion_014,D,deepseek-flash,diffusion,medium,0.7580645161290323,0.0,1,0,1,False,kernel:diffusion,missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 1e-12, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""D""], ""operator"": ""diffusion""}}"
diffusion_018,D,deepseek-flash,diffusion,medium,1.0,,0,0,0,False,,,{}
diffusion_009,D,deepseek-flash,diffusion,complex,0.8788927335640139,0.0,2,0,2,False,kernel:diffusion;kernel:diffusion,missing_in_candidate;missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 0.001, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""D_A""], ""operator"": ""diffusion""}}"
diffusion_017,D,deepseek-flash,diffusion,medium,0.8931297709923665,1.0,1,1,0,False,,,{}
diffusion_015,D,deepseek-flash,diffusion,medium,0.5310344827586206,0.0,1,0,1,False,kernel:diffusion,missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 5e-06, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""D""], ""operator"": ""diffusion""}}"
diffusion_019,D,deepseek-flash,diffusion,complex,0.9282051282051282,0.0,1,0,1,True,kernel:diffusion,missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 3e-06, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""D""], ""operator"": ""diffusion""}}"
diffusion_022,D,deepseek-flash,diffusion,complex,0.7616279069767442,,0,0,0,False,,,{}
diffusion_020,D,deepseek-flash,diffusion,complex,0.9273356401384083,1.0,2,2,0,False,,,{}
diffusion_021,D,deepseek-flash,diffusion,complex,0.693121693121693,0.0,1,0,1,False,kernel:diffusion,missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 1e-09, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""D""], ""operator"": ""diffusion""}}"
expert_le_001,D,deepseek-flash,mechanics,simple,1.0,1.0,5,5,0,False,,,{}
diffusion_023,D,deepseek-flash,diffusion,medium,0.8782608695652174,0.0,1,0,1,False,kernel:diffusion,missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 0.01, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""D_eff""], ""operator"": ""diffusion""}}"
diffusion_024,D,deepseek-flash,diffusion,complex,0.9075907590759076,0.0,2,0,2,True,kernel:diffusion;kernel:diffusion,missing_in_candidate;missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 0.0001, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""D_A""], ""operator"": ""diffusion""}}"
expert_le_004,D,deepseek-flash,mechanics,medium,0.925531914893617,0.5,4,2,2,False,material:youngs_modulus;material:poissons_ratio,value_mismatch;value_mismatch,"{""cand"": 200000000000.0, ""cand_detail"": {""material"": ""elasticity_tensor"", ""material_type"": ""ComputeIsotropicElasticityTensor"", ""property"": ""youngs_modulus""}, ""property"": ""material:youngs_modulus"", ""reason"": ""value_mismatch"", ""ref"": 30000000.0, ""ref_detail"": {""material"": ""elasticity_tensor"", ""material_type"": ""ComputeIsotropicElasticityTensor"", ""property"": ""youngs_modulus""}}"
diffusion_025,D,deepseek-flash,diffusion,complex,0.8870967741935484,0.0,2,0,2,False,kernel:diffusion;kernel:diffusion,missing_in_candidate;missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 2e-05, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""D_A""], ""operator"": ""diffusion""}}"
fluid_001,D,deepseek-flash,fluid,simple,0.39830508474576276,,0,0,0,False,,,{}
expert_le_003,D,deepseek-flash,mechanics,medium,0.8333333333333334,0.8,5,4,1,False,material:poissons_ratio,value_mismatch,"{""cand"": 0.3, ""cand_detail"": {""material"": ""elasticity_tensor"", ""material_type"": ""ComputeIsotropicElasticityTensor"", ""property"": ""poissons_ratio""}, ""property"": ""material:poissons_ratio"", ""reason"": ""value_mismatch"", ""ref"": 0.1, ""ref_detail"": {""material"": ""elasticity_tensor"", ""material_type"": ""ComputeIsotropicElasticityTensor"", ""property"": ""poissons_ratio""}}"
fluid_002,D,deepseek-flash,fluid,simple,0.9435483870967742,,0,0,0,False,,,{}
expert_pf_002,D,deepseek-flash,phase_field,complex,0.4935897435897436,0.18181818181818182,11,2,9,False,material_model:stress_model;material:poissons_ratio;material:gc_prop;material:l;material:visco;material:c0;material:derivative_order;material:derivative_order;material:derivative_order,value_mismatch;value_mismatch;missing_in_candidate;value_mismatch;missing_in_candidate;missing_in_candidate;value_mismatch;missing_in_candidate;missing_in_candidate,"{""cand"": ""linear_elastic"", ""cand_detail"": {""material"": ""stress"", ""material_type"": ""ComputeLinearElasticStress"", ""role"": ""stress_model""}, ""property"": ""material_model:stress_model"", ""reason"": ""value_mismatch"", ""ref"": ""linear_elastic_pf_fracture"", ""ref_detail"": {""material"": ""elastic"", ""material_type"": ""ComputeLinearElasticPFFractureStress"", ""role"": ""stress_model""}}"
fluid_005,D,deepseek-flash,fluid,medium,0.6927374301675977,1.0,1,1,0,False,,,{}
fluid_004,D,deepseek-flash,fluid,medium,0.8275862068965517,0.0,1,0,1,False,kernel:diffusion,missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 1e-12, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""permeability""], ""operator"": ""diffusion""}}"
expert_pf_001,D,deepseek-flash,phase_field,complex,0.0,0.08333333333333333,12,1,11,False,material_model:strain_model;material_model:stress_model;material:youngs_modulus;material:poissons_ratio;material:gc_prop;material:l;material:visco;material:c0;material:derivative_order;material:derivative_order;material:derivative_order,missing_in_candidate;value_mismatch;value_mismatch;value_mismatch;missing_in_candidate;value_mismatch;missing_in_candidate;missing_in_candidate;missing_in_candidate;missing_in_candidate;missing_in_candidate,"{""cand"": null, ""property"": ""material_model:strain_model"", ""reason"": ""missing_in_candidate"", ""ref"": ""small_strain"", ""ref_detail"": {""material"": ""strain"", ""material_type"": ""ComputeSmallStrain"", ""role"": ""strain_model""}}"
fluid_009,D,deepseek-flash,fluid,medium,0.9213483146067416,0.0,1,0,1,True,kernel:diffusion,missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 0.0005, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""D_eff""], ""operator"": ""diffusion""}}"
framework_002,D,deepseek-flash,framework,medium,0.9054054054054054,,0,0,0,False,,,{}
framework_003,D,deepseek-flash,framework,complex,0.96,,0,0,0,False,,,{}
fluid_007,D,deepseek-flash,fluid,complex,0.7977941176470589,0.0,5,0,5,False,kernel:diffusion;kernel:diffusion;kernel:time_derivative;bc:neumann:t:right:t_infinity;bc:neumann:t:right:heat_transfer_coefficient,missing_in_candidate;missing_in_candidate;missing_in_candidate;missing_in_candidate;missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 1e-10, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""K""], ""operator"": ""diffusion""}}"
framework_004,D,deepseek-flash,framework,simple,1.0,,0,0,0,False,,,{}
fluid_010,D,deepseek-flash,fluid,complex,0.8716981132075472,0.0,5,0,5,False,kernel:diffusion;kernel:diffusion;kernel:time_derivative;bc:neumann:t:top:t_infinity;bc:neumann:t:top:heat_transfer_coefficient,missing_in_candidate;missing_in_candidate;missing_in_candidate;missing_in_candidate;missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 1e-05, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""D_c""], ""operator"": ""diffusion""}}"
framework_006,D,deepseek-flash,framework,simple,1.0,,0,0,0,False,,,{}
fluid_008,D,deepseek-flash,fluid,complex,0.34375,0.0,2,0,2,False,kernel:diffusion;kernel:diffusion,missing_in_candidate;missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 1e-08, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""K""], ""operator"": ""diffusion""}}"
framework_005,D,deepseek-flash,framework,simple,1.0,,0,0,0,False,,,{}
framework_007,D,deepseek-flash,framework,medium,0.9627659574468085,,0,0,0,False,,,{}
framework_010,D,deepseek-flash,framework,medium,0.9590643274853802,1.0,1,1,0,False,,,{}
framework_009,D,deepseek-flash,framework,medium,0.950354609929078,,0,0,0,False,,,{}
framework_011,D,deepseek-flash,framework,medium,0.950354609929078,,0,0,0,False,,,{}
framework_012,D,deepseek-flash,framework,complex,0.8881789137380192,0.0,2,0,2,False,kernel:diffusion;kernel:diffusion,missing_in_candidate;missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 0.05, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""D1""], ""operator"": ""diffusion""}}"
framework_008,D,deepseek-flash,framework,medium,0.9096774193548387,0.0,1,0,1,True,kernel:diffusion,missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 0.01, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""D_mat""], ""operator"": ""diffusion""}}"
framework_016,D,deepseek-flash,framework,complex,0.9627659574468085,,0,0,0,False,,,{}
framework_013,D,deepseek-flash,framework,complex,0.837378640776699,,0,0,0,False,,,{}
framework_014,D,deepseek-flash,framework,complex,0.6138613861386139,0.0,1,0,1,False,kernel:diffusion,missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 0.01, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""D""], ""operator"": ""diffusion""}}"
framework_017,D,deepseek-flash,framework,medium,0.9527027027027027,,0,0,0,False,,,{}
le_1d_002,D,deepseek-flash,linear_elasticity,simple,1.0,1.0,5,5,0,False,,,{}
le_1d_001,D,deepseek-flash,linear_elasticity,simple,1.0,1.0,5,5,0,False,,,{}
framework_018,D,deepseek-flash,framework,complex,0.92,0.0,1,0,1,True,kernel:diffusion,missing_in_candidate,"{""cand"": null, ""property"": ""kernel:diffusion"", ""reason"": ""missing_in_candidate"", ""ref"": 0.05, ""ref_detail"": {""coefficient_param"": ""diffusivity"", ""kernel"": ""MatDiffusion"", ""material_properties"": [""D_u""], ""operator"": ""diffusion""}}"
le_1d_003,D,deepseek-flash,linear_elasticity,simple,1.0,1.0,5,5,0,False,,,{}
le_2d_002,D,deepseek-flash,linear_elasticity,simple,1.0,0.6,5,3,2,False,material_model:strain_model;material:youngs_modulus,value_mismatch;value_mismatch,"{""cand"": ""small_strain"", ""cand_detail"": {""material"": ""strain"", ""material_type"": ""ComputeSmallStrain"", ""role"": ""strain_model""}, ""property"": ""material_model:strain_model"", ""reason"": ""value_mismatch"", ""ref"": ""plane_small_strain"", ""ref_detail"": {""material"": ""strain"", ""material_type"": ""ComputePlaneSmallStrain"", ""role"": ""strain_model""}}"
le_2d_001,D,deepseek-flash,linear_elasticity,simple,1.0,0.6,5,3,2,False,material_model:strain_model;material:youngs_modulus,value_mismatch;value_mismatch,"{""cand"": ""small_strain"", ""cand_detail"": {""material"": ""strain"", ""material_type"": ""ComputeSmallStrain"", ""role"": ""strain_model""}, ""property"": ""material_model:strain_model"", ""reason"": ""value_mismatch"", ""ref"": ""plane_small_strain"", ""ref_detail"": {""material"": ""strain"", ""material_type"": ""ComputePlaneSmallStrain"", ""role"": ""strain_model""}}"
le_2d_003,D,deepseek-flash,linear_elasticity,simple,1.0,0.4,5,2,3,True,material_model:strain_model;material:youngs_modulus;material:poissons_ratio,missing_in_candidate;value_mismatch;value_mismatch,"{""cand"": null, ""property"": ""material_model:strain_model"", ""reason"": ""missing_in_candidate"", ""ref"": ""plane_small_strain"", ""ref_detail"": {""material"": ""strain"", ""material_type"": ""ComputePlaneSmallStrain"", ""role"": ""strain_model""}}"
le_2d_004,D,deepseek-flash,linear_elasticity,medium,0.564516129032258,0.6,5,3,2,False,material_model:strain_model;material:youngs_modulus,value_mismatch;value_mismatch,"{""cand"": ""small_strain"", ""cand_detail"": {""material"": ""strain"", ""material_type"": ""ComputeSmallStrain"", ""role"": ""strain_model""}, ""property"": ""material_model:strain_model"", ""reason"": ""value_mismatch"", ""ref"": ""plane_small_strain"", ""ref_detail"": {""material"": ""strain"", ""material_type"": ""ComputePlaneSmallStrain"", ""role"": ""strain_model""}}"
le_2d_005,D,deepseek-flash,linear_elasticity,medium,1.0,0.6,5,3,2,False,material_model:strain_model;material:youngs_modulus,missing_in_candidate;value_mismatch,"{""cand"": null, ""property"": ""material_model:strain_model"", ""reason"": ""missing_in_candidate"", ""ref"": ""plane_small_strain"", ""ref_detail"": {""material"": ""strain"", ""material_type"": ""ComputePlaneSmallStrain"", ""role"": ""strain_model""}}"
le_2d_007,D,deepseek-flash,linear_elasticity,medium,0.950354609929078,0.8,5,4,1,False,material_model:strain_model,value_mismatch,"{""cand"": ""small_strain"", ""cand_detail"": {""material"": ""strain"", ""material_type"": ""ComputeSmallStrain"", ""role"": ""strain_model""}, ""property"": ""material_model:strain_model"", ""reason"": ""value_mismatch"", ""ref"": ""plane_small_strain"", ""ref_detail"": {""material"": ""strain"", ""material_type"": ""ComputePlaneSmallStrain"", ""role"": ""strain_model""}}"
le_2d_006,D,deepseek-flash,linear_elasticity,medium,0.7985074626865671,0.6,5,3,2,False,material_model:strain_model;material:youngs_modulus,value_mismatch;value_mismatch,"{""cand"": ""small_strain"", ""cand_detail"": {""material"": ""strain"", ""material_type"": ""ComputeSmallStrain"", ""role"": ""strain_model""}, ""property"": ""material_model:strain_model"", ""reason"": ""value_mismatch"", ""ref"": ""plane_small_strain"", ""ref_detail"": {""material"": ""strain"", ""material_type"": ""ComputePlaneSmallStrain"", ""role"": ""strain_model""}}"
le_2d_008,D,deepseek-flash,linear_elasticity,medium,1.0,0.6,5,3,2,False,material_model:strain_model;material:youngs_modulus,value_mismatch;value_mismatch,"{""cand"": ""small_strain"", ""cand_detail"": {""material"": ""strain"", ""material_type"": ""ComputeSmallStrain"", ""role"": ""strain_model""}, ""property"": ""material_model:strain_model"", ""reason"": ""value_mismatch"", ""ref"": ""plane_small_strain"", ""ref_detail"": {""material"": ""strain"", ""material_type"": ""ComputePlaneSmallStrain"", ""role"": ""strain_model""}}"
le_2d_011,D,deepseek-flash,linear_elasticity,medium,1.0,0.4,5,2,3,True,material_model:strain_model;material:youngs_modulus;material:poissons_ratio,value_mismatch;value_mismatch;value_mismatch,"{""cand"": ""small_strain"", ""cand_detail"": {""material"": ""strain"", ""material_type"": ""ComputeSmallStrain"", ""role"": ""strain_model""}, ""property"": ""material_model:strain_model"", ""reason"": ""value_mismatch"", ""ref"": ""plane_small_strain"", ""ref_detail"": {""material"": ""strain"", ""material_type"": ""ComputePlaneSmallStrain"", ""role"": ""strain_model""}}"
le_2d_012,D,deepseek-flash,linear_elasticity,medium,1.0,0.4,5,2,3,True,material_model:strain_model;material:youngs_modulus;material:poissons_ratio,value_mismatch;value_mismatch;value_mismatch,"{""cand"": ""small_strain"", ""cand_detail"": {""material"": ""strain"", ""material_type"": ""ComputeSmallStrain"", ""role"": ""strain_model""}, ""property"": ""material_model:strain_model"", ""reason"": ""value_mismatch"", ""ref"": ""plane_small_strain"", ""ref_detail"": {""material"": ""strain"", ""material_type"": ""ComputePlaneSmallStrain"", ""role"": ""strain_model""}}"
le_2d_009,D,deepseek-flash,linear_elasticity,medium,1.0,0.6,5,3,2,False,material_model:strain_model;material:youngs_modulus,value_mismatch;value_mismatch,"{""cand"": ""small_strain"", ""cand_detail"": {""material"": ""strain"", ""material_type"": ""ComputeSmallStrain"", ""role"": ""strain_model""}, ""property"": ""material_model:strain_model"", ""reason"": ""value_mismatch"", ""ref"": ""plane_small_strain"", ""ref_detail"": {""material"": ""strain"", ""material_type"": ""ComputePlaneSmallStrain"", ""role"": ""strain_model""}}"
le_2d_013,D,deepseek-flash,linear_elasticity,simple,1.0,0.4,5,2,3,True,material_model:strain_model;material:youngs_modulus;material:poissons_ratio,value_mismatch;value_mismatch;value_mismatch,"{""cand"": ""small_strain"", ""cand_detail"": {""material"": ""strain"", ""material_type"": ""ComputeSmallStrain"", ""role"": ""strain_model""}, ""property"": ""material_model:strain_model"", ""reason"": ""value_mismatch"", ""ref"": ""plane_small_strain"", ""ref_detail"": {""material"": ""strain"", ""material_type"": ""ComputePlaneSmallStrain"", ""role"": ""strain_model""}}"
